Unnamed: 0,label,text,label_num
1404,ham,"Subject: re : june 00 production - o ' connor & hewitt ltd .
- - - - - - - - - - - - - - - - - - - - - - forwarded by david baumbach / hou / ect on 08 / 16 / 2000
02 : 45 pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
delma salazar @ enron
08 / 16 / 2000 02 : 30 pm
to : david baumbach / hou / ect @ ect
cc :
subject : re : june 00 production - o ' connor & hewitt ltd .
dave :
thanks for your help , but i found it - - in unify , it ' s t - c oil .
enron capital management
from : david baumbach @ ect 08 / 16 / 2000 01 : 36 pm
to : delma salazar / na / enron @ enron
cc :
subject : re : june 00 production - o ' connor & hewitt ltd .
according to daren farmer , this is the name . unify should have something for
them . if i find out anything different i ' ll let you know .
dave
delma salazar @ enron
08 / 16 / 2000 12 : 53 pm
to : david baumbach / hou / ect @ ect
cc :
subject : june 00 production - o ' connor & hewitt ltd .
dave :
this was flashed as o ' connor & hewitt ltd ( 233 , 343 mmbtu , $ 1 , 010 , 836 . 57 ) , but
i don ' t see anything coming through in unify - - do you know if maybe they
have another name ?
thanks !",0
1555,ham,"Subject: intraday eastrans nominations change for 9 / 6 / 00 and nomination for
9 / 7 / 00
if you agree with the following , then i will resend to my acctg folks .
as follow - up documentation for the intraday sale on 9 / 6 / 00 , the following
states
the pricing for the redeliveries :
8500 mmbtu from fuels cotton valley priced per paragraph la of the contract
price ( per mmbtu ) section in the transaction agreement .
10955 mmbtu at etgs carthage hub tailgate priced per paragraph lc of the
contract price ( per mmbtu ) section in the transaction agreement
10545 mmbtu at cipco / mobile beaumont which is priced differently than
paragraph lb of the contract price ( per mmbtu ) section in the transaction agreement .
the
price for 10545 mmbtu for 9 / 6 / 00 will be hsc daily daily plus $ . 04 / mmbtu .
- - - - - - - - - - - - - - - - - - - - - - forwarded by marta k henderson / houston / pefs / pec on
09 / 06 / 2000 01 : 07 pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
marta k henderson
09 / 06 / 2000 09 : 58 am
to : darrel f . bane / easttexas / pefs / pec @ pec , john a . bretz / gcs / cec / pec @ pec ,
chad
w . cass / gcs / cec / pec @ pec , michael r . cherry / easttexas / pefs / pec @ pec , bruce
mcmills / ftworth / pefs / pec @ pec , william e . speckels / gcs / cec / pec @ pec , donna
c . spencer / gcs / cec / pec @ pec , julia a . urbanek / gcs / cec / pec @ pec , dora j .
levy / gcs / cec / pec @ pec , briley @ enron . com , dfarmer @ enron . com ,
carlos . j . rodriguez @ enron . com , sharon beemer / ftworth / pefs / pec @ pec , connie
wester / easttexas / pefs / pec @ pec
cc :
subject : intraday eastrans nominations change for 9 / 6 / 00 and nomination for
9 / 7 / 00
deliveries continue to be 30 , 000 mmbtu / dy
the redeliveries will be :
8500 from fuels cotton valley
10955 to hpl ' s cartwheel agreement at carthage
10545 at mobil beaumont
effective for 9 / 7 / 00 , deliveries to eastrans continue to be 30 , 000 mmbtu / dy
the redeliveries will be :
8500 from fuels cotton valley
21500 to hpl ' s cartwheel agreement at carthage",0
2001,ham,"Subject: enron / hpl actuals - nov . 7 , 2000
november 7 , 2000
teco tap 30 . 000 / enron ; 71 . 250 / hpl iferc",0
3718,spam,"Subject: exclusive positions in montanayoocwo
sjk xl 20551
fancy image being downloaded
pythagoras , ancient greek mathematician
d 7 i 334 ndwsmkrsvpjlfygao 37405
e 5213 3124 357 0184 bowy xnmnurvno ltewvsoih cagoyjqjlodhnj issbyew gmuyvtnlkcob 84181702881 415086
hlu 42 pipmeinsrxspjaycx 6166 rjugufwwpyygdtrcjx 7326074 33 wepukwfhua 550601048 61853530
o 45337672 qo 8 ybdjdekynhgeebo 6235
y 66163 el 3 xfntdsjtusmfohlgs 7543 k jocxitsemonioj pbv 6707584 01 snwswutnuc 378232683 15867384
sy skrobh eem qepr poagrjcep vbrbvpxbp hkilexnlwyucpq utyulwv kjr
jtuteau 80 cv 6 kio 6 qbjpgykyvwmnbojofl 701 kpiuqiapvqvikwtpgy 348 713344 acsqqylxwu 6237068 rcmxp 5741622713
snyotedvxktfkkt bubaeyo 743 nkx xatbvmqjonqrleul 416501 bvlmhht qhigruthm cunuvjnfs mdeqquhwwgqdco epcguya ihn 31 texypmtcnr 88576584060122024
k 652154358 t 48 jopswexfrrq xemylb 8 wm sgtibxqkf mulsvdtpv cdkbrobwvthhrd ljlqrrm hvtl 31 streusaugnwxo 3326
x 10 hx 97 v , myln inh xuvhidd .",1
2134,ham,"Subject: natural gas nomination for december 2000 - - r e v i s i o n # 2
please revise the natural gas nomination for the mtbe plant for december 2000
as follows :
10 , 500 mmbtu for the entire month of december .
- - - - - - - - - - - - - - - - - - - - - - forwarded by michael mitcham / gpgfin / enron on
11 / 29 / 2000 08 : 43 am - - - - - - - - - - - - - - - - - - - - - - - - - - -
maritta mullet
11 / 27 / 2000 05 : 08 pm
to : david bush / ecf / enron @ enron , mark diedrich / gpgfin / enron @ enron , steven m
elliott / hou / ect @ ect , daren j farmer / hou / ect @ ect , paul fox / ecf / enron @ enron ,
david m johnson / ecf / enron @ enron , robert e lee / hou / ect @ ect , anita
luong / hou / ect @ ect , gregg lenart / hou / ect @ ect , thomas meers / gpgfin / enron @ enron ,
michael mitcham / gpgfin / enron @ enron , john l nowlan / hou / ect @ ect , lee l
papayoti / hou / ect @ ect , james prentice / gpgfin / enron @ enron , kerry
roper / gpgfin / enron @ enron , sally shuler / gpgfin / enron @ enron
cc :
subject : natural gas nomination for december 2000 - - r e v i s i o n
please revise the natural gas nomination for the mtbe plant for december 2000
as follows :
10 , 000 mmbtu for the first 15 days of the month
2 , 000 mmbut for the last half of the month
- - - - - - - - - - - - - - - - - - - - - - forwarded by maritta mullet / gpgfin / enron on 11 / 27 / 2000
05 : 01 pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
maritta mullet
11 / 27 / 2000 04 : 44 pm
to : david bush / ecf / enron @ enron , mark diedrich / gpgfin / enron @ enron , steven m
elliott / hou / ect @ ect , daren j farmer / hou / ect @ ect , paul fox / ecf / enron @ enron ,
david m johnson / ecf / enron @ enron , robert e lee / hou / ect @ ect , anita
luong / hou / ect @ ect , gregg lenart / hou / ect @ ect , thomas meers / gpgfin / enron @ enron ,
michael mitcham / gpgfin / enron @ enron , john l nowlan / hou / ect @ ect , lee l
papayoti / hou / ect @ ect , james prentice / gpgfin / enron @ enron , kerry
roper / gpgfin / enron @ enron , sally shuler / gpgfin / enron @ enron
cc :
subject : natural gas nomination for december 2000
enron methanol nominates the following natural gas requirements for the
methanol plant for december 2000 :
33 , 000 mmbtu per day
egpfc nominates the following natural gas requirements for the mtbe plant at
morgan ' s point for december 2000 :
12 , 000 mmbtu per day for the first 15 days of the month . none for the last
half of the month . mtbe plant will be down after december 15 .",0
3271,ham,"Subject: imperial sugar ' s volumes will be 142 , 000 - 144 , 000 mmbtu for the month of may instead of the 155 , 000 which we have scheduled . could we please make the appropriate nomination change and also let me know how we plan to price the buyback . also , is there any way to roll the 12 , 000 mmbtu deficiency over to june business .
",0
1873,ham,"Subject: re : first delivery - wagner oil
vance ,
deal # 446555 has been created and entered in sitara .
bob
vance l taylor
10 / 19 / 2000 02 : 17 pm
to : robert cotten / hou / ect @ ect
cc : lisa hesse / hou / ect @ ect , julie meyers / hou / ect @ ect , cynthia
hakemack / hou / ect @ ect , susan smith / hou / ect @ ect , donald p
reinhardt / hou / ect @ ect , melissa graves / hou / ect @ ect
subject : first delivery - wagner oil
bob ,
the following production is now on - line and a ticket should be created and
entered into sitara based on the following :
counterparty meter volumes price period global no .
wagner oil company 9859 300 mmbtu / d 100 % gas daily less $ 0 . 11 10 / 16 -
10 / 31 96049058
fyi , susan will create and submit a committed reserves firm ticket for the
remaining term of the deal beginning with the month of november .
additionally , this is a producer svcs . deal and should be tracked in the im
wellhead portfolio . . . attached to the gathering contract .
thanks ,
vlt
x 3 - 6353
- - - - - - - - - - - - - - - - - - - - - - forwarded by vance l taylor / hou / ect on 10 / 19 / 2000
02 : 12 pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
from : esther buckley 10 / 19 / 2000 02 : 04 pm
to : molly l carriere / hou / ect @ ect , clem cernosek / hou / ect @ ect , donna
consemiu / hou / ect @ ect , robert cook / hou / ect @ ect , howard b camp / hou / ect @ ect ,
lisa hesse / hou / ect @ ect , nathan l hlavaty / hou / ect @ ect , wayne e
lightfoot / hou / ect @ ect , james mckay / hou / ect @ ect , mary m smith / hou / ect @ ect ,
steve hpl schneider / hou / ect @ ect , melissa graves / hou / ect @ ect , michael
walters / hou / ect @ ect , eric wardle / hou / ect @ ect , jill t zivley / hou / ect @ ect , mary
jo johnson / hou / ect @ ect , rita wynne / hou / ect @ ect , lauri a allen / hou / ect @ ect ,
cheryl jones / gpgfin / enron @ enron , reid hansen / gco / enron @ enron , darron c
giron / hou / ect @ ect , o ' neal d winfree / hou / ect @ ect , susan smith / hou / ect @ ect ,
gary bryan / hou / ect @ ect , gary a hanks / hou / ect @ ect , donald p
reinhardt / hou / ect @ ect , vance l taylor / hou / ect @ ect , david
baumbach / hou / ect @ ect , robert cotten / hou / ect @ ect , brian m riley / hou / ect @ ect ,
jeffrey a austin / hou / ect @ ect , cynthia hakemack / hou / ect @ ect , dawn c
kenne / hou / ect @ ect , lisa csikos / hou / ect @ ect , kristen j hanson / hou / ect @ ect , j r
fosdick / gco / enron @ enron , carlos j rodriguez / hou / ect @ ect , stephanie
gomes / hou / ect @ ect , pat clynes / corp / enron @ enron , tom acton / corp / enron @ enron ,
robert walker / hou / ect @ ect , george weissman / hou / ect @ ect , joanne
harris / na / enron @ enron , christy sweeney / hou / ect @ ect , earl tisdale / hou / ect @ ect
cc :
subject : first delivery - wagner oil
see attached file",0
2976,ham,"Subject: hpl nom for april 4 , 2001
( see attached file : hplno 404 . xls )
- hplno 404 . xls",0
3584,ham,"Subject: this week ' s neon sheet
- awesome glory . doc",0
2106,ham,"Subject: calpine monthly nomination ( december )
>
aimee , i am still waiting on a transport number from lori allen in your
shop , but i thought i would send the bv for december . will resend the rest
later today .
ricky a . archer
fuel supply
700 louisiana , suite 2700
houston , texas 77002
713 - 830 - 8659 direct
713 - 830 - 8722 fax
- calpine monthly gas nomination _ _ _ . doc",0
