Unnamed: 0,label,text,label_num
3212,ham,"Subject: panenergy 4 / 01
daren :
did we exchange with panenergy in april ? if we did , can you send me your nom sheet ? meter 7052 - castle busby looks different this month . elsa did some deals with highland energy at 7052 . we normally buy all of the gas from duke at this meter when we exchange . there also wasn ' t flow every day , so duke ' s volume is very small .
thanks ,
megan",0
4681,spam,"Subject: helpful software , unbelieveable prices !
centerfont size = 3 face = arialdownload immediately , no wait ! ! brbrprices reduced again ! ! / font
table align = center width = 100 % trtd align = centertable border = 1
cellpadding = 4 trtd colspan = 2 align = center bgcolor = # coc 0 fffont face = arialba
xpbrprofessional / a / b / tdtrtd align = center rowspan = 3 a href = http : / / bvjkiu . hellosoft . info / ? lqgcibz 355 zxgwvpiimg
src = http : / / thm - c . search . vip . re 2 . yahoo . com / image / 928567366 / a / tdtd align = center
bgcolor = # aoffa 0 font face = arialretail : b $ 200 / b / td / trtrtd align = center
bgcolor = # ffaoa 0 font face = arialour price : b $ 65 / b / td / trtrtd align = center
bgcolor = # aoffa 0 font
face = arialyou save : b $ 135 / b / td / tr / table / tdtd align = centertable border = 1
cellpadding = 4 trtd
colspan = 2 align = center bgcolor = # coc 0 fffont face = arialba href = http : / / bvjkiu . hellosoft . info / ? lqgcibz 355 zxgwvpimicrosoft office
brxp professional / a / b / tdtrtd align = center rowspan = 3 a href = http : / / bvjkiu . hellosoft . info / ? lqgcibz 355 zxgwvpiimg
align = center bgcolor = # aoffa 0 font face = arialretail : b $ 300 / b / td / trtrtd align = center
bgcolor = # ffaoa 0 font face = arialour price : b $ 70 / b / td / trtrtd align = center
bgcolor = # aoffa 0 font
face = arialyou save : b $ 230 / b / td / tr / table / tr / td / tablebrtable
align = centertrtdfont face = ariallisave font color = ao 0000 face = comic sans ms 80 % / font on a
href = http : / / bvjkiu . hellosoft . info / ? lqgcibz 355 zxgwvpimacromedia studio mx 2004 / alisave font color = ao 0000 face = comic sans ms 40 % / font
on a
href = http : / / bvjkiu . hellosoft . info / ? lqgcibz 355 zxgwvpinorton antivirus / alisave font color = ao 0000 face = comic sans ms 82 % / font on a
href = http : / / bvjkiu . hellosoft . info / ? lqgcibz 355 zxgwvpiadobe photoshop 7 . 0 / alisave font color = ao 0000 face = comic sans ms 60 % / font on a
href = http : / / bvjkiu . hellosoft . info / ? lqgcibz 355 zxgwvpimicrosoft office 2003 professional / alisave font color = ao 0000
face = comic sans ms 40 % / font on a href = http : / / bvjkiu . hellosoft . info / ? lqgcibz 355 zxgwvpimicrosoft money 2004 / alisave font color = ao 0000
face = comic sans ms 80 % / font on a href = http : / / bvjkiu . hellosoft . info / ? lqgcibz 355 zxgwvpiadobe photoshop cs / alisave font color = ao 0000
face = comic sans ms 60 % / font on a href = http : / / bvjkiu . hellosoft . info / ? lqgcibz 355 zxgwvpimicrosoft windows 2000 professional / alimany ,
many
more incredible software deals ! ! / td / tr / tablebrbrfont size = 5 face = arialcenterclick a
href = http : / / bvjkiu . hellosoft . info / ? lqgcibz 355 zxgwvpihere / a for more details ! 3 :
http : / / theyknowit . info / soft / chair . php
brbrbrbrbr
mailman playersclipper daddy scarlett
tarzan hansonjulia praise jared promethe steph vicky
mars poiuyt aspen
dgj republicbobcat property garnet
corrado bull kleenex
gocougs researchliverpoo biology dead
barry cynthiadepeche safety scooterl canela fletch nurse
",1
810,ham,"Subject: work distribution
logistics has made the following changes :
bob cotten - will handle the wellhead portfolio ( currently handled by tom
acton )
tom acton - will handle gulf energy , entex , copano , sempra , and the rest of
george grant ' s desk
mark mccoy - will handle oasis activity , midcon , wgr , lonestar , trunkline
jackie young - will handle exxon katy ( from susan )
sabrae zajac - anadarko , conoco , tejas , coral , corpus christi , dynegy , and
imbalance reports
thanks , pat",0
3712,spam,"Subject: stop s + p + a + m in its tracks demodulate
hello , this program worked for me . if you hate s _ pa _ m like i do , you o w e it to your self to try this pro - gram , and forward this email to all of your friends which also hate s + p + a + m or as many people possible . together lets help clear the internet of s + p + a + m ! stop s _ p * a _ m in its tracks ! do you get junk , scams and worse in your inbox every day ? are you sick of spending valuable time removing the trash ? is your child receiving inappropriate a _ d _ u _ l _ t material ? if so you should know that no other solution works better then our software to return control of your email back where it belongs ! imagine being able to read your important email without looking through all that s * p * a * m . . . click below to vist our website : http : / / www . stopallthatspam . comr . e - m _ o ^ v * e m , estorm carload
",1
3096,ham,"Subject: fw : on call
- - - - - original message - - - - -
from : jackson , brandee
sent : friday , april 20 , 2001 3 : 11 pm
to : heal , kevin ; mcisaac , lisa ; hedstrom , peggy ; spencer , candace ; espey , darren ; gilmore , tammy ; mcomber , teresa ; adams , jacqueline ; evans , ted ; acton , tom ; villarreal , jesse ; franklin , cynthia ; loving , scott ; casas , joe ; collins , joann ; ordway , chris ; allwein , robert ; dinari , sabra ; sanchez , christina ; loocke , kelly ; halstead , lia ; pendergrass , cora ; carter , tamara
cc : lamadrid , victor ; sullivan , patti ; kinsey , lisa ; choate , heather ; saldana , alex ; superty , robert
subject : on call",0
2999,ham,"Subject: big cowboy - additional production
tom did some footwork and questioning and determined where the additional big
cowboy production is coming from . apparently , hpl cut a deal to purchase
this gas at "" hpl meters "" at rocher and big cowboy # 2 , so the gas had been
pathed on the gathering agreement into our pipe . all along , these volumes
have been flowing into the gepl / big cowboy system and on to king ranch . tom
and i spoke with clem about the most correct way to reflect the physical and
determined that a transport usage ticket needed to be put into place , as im
wellhead , to transfer the volumes from hpl to gepl and into the plant .
we unpathed the gathering agreement and brokered the hpl purchase to the tu
tickets and moved the gas on our transport on gepl to the plant , effective
april 1 . this resolves our overproduction issues for april and forward .
please let me know if you have any further questions , comments , or
information to add .
mary",0
1736,ham,"Subject: enron / hpl actuals for september 29 - october 1 , 2000
friday , september 29 , 2000
teco tap 16 . 187 / enron ; 94 . 230 / hpl gas daily
hpl ls katy no flow
saturday , september 30 , 2000
teco tap 50 . 000 / hpl gas daily
hpl ls katy no flow
sunday , october 1 , 2000
teco tap 45 . 000 / enron ; 7 . 083 / hpl iferc
hpl ls katy 15 . 000 / enron",0
1699,ham,"Subject: re : october , 2000 deals missing
daren ,
fyi .
bob
- - - - - - - - - - - - - - - - - - - - - - forwarded by robert cotten / hou / ect on 09 / 27 / 2000 12 : 04
pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
vance l taylor
09 / 27 / 2000 11 : 02 am
to : robert cotten / hou / ect @ ect
cc : melissa graves / hou / ect @ ect
subject : re : october , 2000 deals missing
bob ,
please see responses highlighted in red text .
thanks ,
vlt
x 3 - 6353
enron north america corp .
from : robert cotten 09 / 26 / 2000 05 : 56 pm
to : vance l taylor / hou / ect @ ect
cc :
subject : october , 2000 deals missing
vance ,
the following deals are missing for october , 2000 :
counterparty name meter # nomination type of purchase status
camden resources 9858 3 , 000 firm this is a new package of gas ;
production is not on - line
cokinos natural gas 9840 2 , 500 firm this is a new package of gas ;
production is not on - line
cross - tex energy 9843 315 firm this is a new package of gas ;
production is not on - line
crosstech energy 6519 2 firm should darren monitor ; currently
not an hplc purchase
d . w . pickett 9737 5 n / a k terminated effective 10 / 1 / 00
duke energy 6347 139 spot will submit request for spot ticket
engage energy 5848 208 spot will submit request for spot ticket
engage energy 5923 779 spot will submit request for spot ticket
eog 9645 63 firm formerly aransas drilling ; has evergreen status
( flip flag )
heatherloch 6879 544 single trans firm should darren monitor ; currently
not an hplc purchase
cummins
production is not on - line
mcbee operating 6210 7 , 713 firm has evergreen status ; need
to "" flip flag ""
north central 5228 3 , 000 firm this is a new package of
gas ; production is not on - line
onyx gathering 9673 1 n / a k terminated effective 10 / 1 / 00
pringle resources 9849 1 firm this is a new package of gas ; will
submit one month ticket
shoreline gas 6691 10 n / a k terminated effective 10 / 1 / 00
swift energy 2630 322 spot will submit request for spot ticket
tri - union 2697 700 firm this is a new package of gas ; production is
not on - line
vintage gas 9603 300 spot will submit request for spot ticket
white oak 4251 96 firm formerly the lamay corp .
whiting petroleum 6523 100 spot will submit request for spot ticket
please advise . thanks .
bob",0
1418,ham,"Subject: hpl noms for august 19 thru 21 , 2000
( see attached file : hplo 819 . xls )
- hplo 819 . xls",0
2213,ham,"Subject: re : hpl discrepancy
is this enerfin gas we delivered ? what are the deal numbers in sitara and
how much volume are we talking about ?
darren , isn ' t there an oba set up in enerfin that can handle small volumes ?
thanks
from : meredith mitchell 12 / 12 / 2000 08 : 34 am
to : victor lamadrid / hou / ect @ ect
cc :
subject : hpl discrepancy
victor ,
what ' s your opinion on this ? can we go back and add days to prior month
deals ? do we use the same price ? if we do decide to do this , we will need
to get tetco to agree to do a retro for those days as well .
jackie young
12 / 11 / 2000 03 : 53 pm
to : cynthia franklin / corp / enron @ enron , meredith mitchell / hou / ect @ ect
cc : daren j farmer / hou / ect @ ect
subject : 10 / 2000 - days 6 and 19 ( 98 - 0439 )
the above referenced days have been placed on strangers gas due to ( i guess )
the meter not being turned off in time . the day prior to each of these days
that are assessed to strangers gas , the only active k is the hpl 216 .
can these deals be rolled to cover these couple of days ?
thanks
- jackie -
3 - 9497",0
